No,Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Frontage,Price_per_sqm,District_encoded,Month
26,17.0,151.69,5.0,5.0,quan-1,2.0,1.0,-1.0,0.11,0,3
27,7.3,54.0,3.0,4.0,quan-1,2.0,-1.0,0.0,0.14,0,3
28,8.5,39.1,6.0,4.0,quan-1,4.0,1.0,0.0,0.22,0,3
29,7.9,30.0,3.0,4.0,quan-1,4.0,1.0,0.0,0.26,0,3
30,7.9,33.0,3.0,4.0,quan-1,4.0,1.0,0.0,0.24,0,3
31,7.9,30.0,4.0,4.0,quan-1,4.0,1.0,1.0,0.26,0,2
32,7.0,90.0,4.0,2.0,quan-1,4.0,1.0,1.0,0.08,0,2
33,15.8,64.0,5.0,6.0,quan-1,4.0,1.0,0.0,0.25,0,2
34,3.8,29.0,4.0,3.0,quan-1,3.0,1.0,-1.0,0.13,0,2
35,5.5,24.0,3.0,4.0,quan-1,4.0,1.0,0.0,0.23,0,2
36,7.5,70.0,2.0,2.0,quan-1,2.0,1.0,0.0,0.11,0,1
37,16.0,80.0,6.0,6.0,quan-2,3.0,-1.0,1.0,0.2,1,12
38,15.8,80.0,4.0,4.0,quan-2,4.0,-1.0,-1.0,0.2,1,12
39,14.5,71.0,4.0,4.0,quan-2,4.0,1.0,1.0,0.2,1,12
40,16.0,80.0,4.0,4.0,quan-2,4.0,-1.0,1.0,0.2,1,12
41,8.7,54.0,1.0,1.0,quan-2,4.0,1.0,-1.0,0.16,1,11
42,17.5,80.0,4.0,4.0,quan-2,3.0,-1.0,1.0,0.22,1,11
43,16.5,80.0,4.0,4.0,quan-2,3.0,-1.0,1.0,0.21,1,11
44,16.0,80.0,4.0,4.0,quan-2,3.0,-1.0,1.0,0.2,1,11
45,17.0,80.0,5.0,5.0,quan-2,4.0,-1.0,-1.0,0.21,1,11
46,7.5,46.0,2.0,1.0,quan-2,2.0,-1.0,0.0,0.16,1,11
47,16.0,80.0,4.0,5.0,quan-2,3.0,-1.0,1.0,0.2,1,11
48,9.9,61.0,2.0,1.0,quan-2,4.0,1.0,-1.0,0.16,1,11
49,9.5,51.0,6.0,7.0,quan-2,5.0,-1.0,-1.0,0.19,1,11
50,7.5,46.0,2.0,1.0,quan-2,4.0,1.0,-1.0,0.16,1,11
51,9.8,60.0,2.0,1.0,quan-2,4.0,1.0,1.0,0.16,1,11
52,17.5,147.0,4.0,3.0,quan-2,4.0,1.0,1.0,0.12,1,11
53,8.9,60.0,2.0,2.0,quan-2,4.0,-1.0,1.0,0.15,1,11
54,6.38,59.0,3.0,3.0,quan-2,3.0,-1.0,-1.0,0.11,1,11
55,6.8,96.0,5.0,5.0,quan-2,3.0,1.0,1.0,0.07,1,11
56,7.5,75.0,4.0,5.0,quan-2,5.0,1.0,-1.0,0.1,1,11
57,6.9,60.0,3.0,4.0,quan-2,3.0,-1.0,-1.0,0.12,1,11
58,10.0,51.0,7.0,7.0,quan-2,4.0,-1.0,0.0,0.2,1,10
59,13.1,95.25,5.0,5.0,quan-2,4.0,-1.0,-1.0,0.14,1,10
60,6.0,119.0,3.0,3.0,quan-2,3.0,1.0,-1.0,0.05,1,10
61,10.0,51.0,6.0,6.0,quan-2,4.0,-1.0,0.0,0.2,1,10
62,17.9,80.0,4.0,3.0,quan-2,4.0,-1.0,-1.0,0.22,1,10
63,9.9,120.0,4.0,7.0,quan-2,5.0,1.0,1.0,0.08,1,10
64,6.95,86.0,4.0,5.0,quan-2,4.0,1.0,-1.0,0.08,1,10
65,8.9,54.0,2.0,2.0,quan-2,4.0,1.0,1.0,0.16,1,10
66,15.5,80.0,5.0,4.0,quan-2,3.0,1.0,1.0,0.19,1,10
67,13.1,95.25,5.0,5.0,quan-2,4.0,-1.0,-1.0,0.14,1,10
68,4.0,42.0,2.0,2.0,quan-2,2.0,-1.0,-1.0,0.1,1,10
69,13.1,95.25,5.0,5.0,quan-2,4.0,1.0,1.0,0.14,1,10
70,4.0,54.0,3.0,2.0,quan-2,2.0,-1.0,0.0,0.07,1,10
71,18.0,205.0,4.0,4.0,quan-2,4.0,-1.0,1.0,0.09,1,10
72,8.2,65.0,3.0,3.0,quan-2,4.0,-1.0,-1.0,0.13,1,10
73,2.85,40.0,3.0,2.0,quan-2,2.0,1.0,0.0,0.07,1,9
74,3.6,60.0,3.0,2.0,quan-2,2.0,1.0,-1.0,0.06,1,9
75,3.0,49.0,3.0,3.0,quan-2,3.0,1.0,-1.0,0.06,1,9
76,3.0,72.0,3.0,2.0,quan-2,1.0,-1.0,-1.0,0.04,1,9
77,3.6,72.0,3.0,2.0,quan-2,2.0,1.0,-1.0,0.05,1,9
78,6.0,82.0,5.0,5.0,quan-2,4.0,1.0,-1.0,0.07,1,9
