Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Price_per_sqm,District_encoded,Month,Frontage_1,Frontage_0
9.2,51.0,3.0,4.0,quan-3,5.0,0.0,0.18,2,11,0,1
65.0,198.0,8.0,7.0,quan-3,7.0,0.0,0.33,2,10,1,0
500.0,1196.0,34.0,33.0,quan-3,10.0,0.0,0.42,2,10,0,0
49.0,128.0,10.0,11.0,quan-3,6.0,0.0,0.38,2,10,1,0
98.0,210.0,4.0,4.0,quan-3,9.0,1.0,0.47,2,10,1,0
67.0,200.0,9.0,8.0,quan-3,6.0,0.0,0.34,2,10,0,0
42.0,140.0,6.0,5.0,quan-3,5.0,0.0,0.3,2,10,1,0
39.0,260.0,8.0,9.0,quan-3,5.0,0.0,0.15,2,10,1,0
70.0,251.0,4.0,4.0,quan-3,7.0,0.0,0.28,2,10,1,0
42.0,100.0,5.0,5.0,quan-3,5.0,0.0,0.42,2,10,1,0
39.0,143.0,6.0,6.0,quan-3,7.0,0.0,0.27,2,10,1,0
6.5,36.0,4.0,3.0,quan-3,4.0,1.0,0.18,2,10,0,1
11.5,63.0,4.0,5.0,quan-3,7.0,0.0,0.18,2,10,1,0
3.4,21.54,2.0,2.0,quan-3,3.0,0.0,0.16,2,10,0,0
15.0,52.0,3.0,2.0,quan-3,3.0,0.0,0.29,2,10,0,0
2.25,27.0,3.0,3.0,quan-3,3.0,1.0,0.08,2,9,1,0
2.55,61.0,4.0,4.0,quan-3,3.0,0.0,0.04,2,9,0,1
2.25,45.0,2.0,2.0,quan-3,2.0,1.0,0.05,2,9,0,0
2.35,50.0,3.0,3.0,quan-3,3.0,1.0,0.05,2,9,0,1
6.7,35.0,3.0,3.0,quan-3,3.0,0.0,0.19,2,9,0,1
2.45,47.0,6.0,4.0,quan-3,3.0,1.0,0.05,2,9,0,1
4.5,40.0,8.0,5.0,quan-3,5.0,1.0,0.11,2,9,1,0
6.6,100.0,5.0,5.0,quan-3,5.0,0.0,0.07,2,9,0,0
38.0,67.0,7.0,8.0,quan-3,4.0,0.0,0.57,2,9,1,0
38.0,67.0,8.0,8.0,quan-3,5.0,0.0,0.57,2,9,1,0
1.89,21.0,2.0,2.0,quan-3,2.0,0.0,0.09,2,9,0,0
1.89,25.0,2.0,2.0,quan-3,3.0,1.0,0.08,2,9,0,0
